,age,gender,q3,q4,q6,q7,q8,q9,q10_part_1,q10_part_2,q10_part_3,q10_part_4,q10_part_5,q10_part_6,q10_part_7,q10_part_8,q10_part_9,q10_part_10,q10_part_11,q10_part_12,q10_part_13,q10_part_14,q10_part_15,q10_part_16,q10_other,q14,q20,q21,q22,q24,q34,q35,q39_part_1,q39_part_2,q39_part_3,q39_part_4,q39_part_5,q39_part_6,q39_part_7,q39_part_8,q39_part_9,q39_other,q41
142,30-34,Man,Colombia,I prefer not to answer,< 1 years, SQL,Python,"Visual Studio ,Jupyter Notebook",,,,,,,,,,,,,,,,None,, None,Accounting/Finance,50-249 employees,10-14,Analyze and understand data to influence product or business decisions, None,,,,,,,,,,I do not share my work publicly,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)"
150,70+,Woman,United States of America,Master’s degree,20+ years,"Python, SQL",Python,Jupyter Notebook,,,,,,,,,,,,,,,,None,," Matplotlib ,Seaborn ",Government/Public Service,"1000-9,999 employees",3-4,"Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data", Qlik,,,,, GitHub ,, Kaggle ,,,,,"Local development environments (RStudio, JupyterLab, etc.)"
185,18-21,Man,Brazil,Bachelor’s degree,3-5 years,"Python, SQL, C, Javascript",Python,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Visual Studio Code (VSCode) ,Jupyter Notebook", Kaggle Notebooks,Colab Notebooks,,,,,,,,,Google Cloud Datalab, Databricks Collaborative Notebooks ,,,,,," Matplotlib ,Seaborn ,Geoplotlib ",Online Business/Internet-based Sales,"1000-9,999 employees",20+,"Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data", Tableau,,,,, GitHub ,, Kaggle , Colab ,,,,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)"
220,30-34,Man,India,Bachelor’s degree,1-3 years,"Python, SQL",SQL," Notepad++,Jupyter Notebook",,Colab Notebooks,,,,,,,,,,,,, Observable Notebooks ,,," Matplotlib ,Seaborn ",Computers/Technology,"10,000 or more employees",20+, None of these activities are an important part of my role at work, Tableau,,,,,, Personal blog ,,,,,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)"
247,22-24,Man,Ukraine,Doctoral degree,3-5 years,"Python, SQL, C++, Other",Python,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Visual Studio ,PyCharm , Notepad++,Jupyter Notebook", Kaggle Notebooks,Colab Notebooks,,,,,,,,,,,,,,,," Matplotlib ,Seaborn ",Other,0-49 employees,1-2,"Analyze and understand data to influence product or business decisions, Experimentation and iteration to improve existing ML models",,,,,,,,,,,,,"Advanced statistical software (SPSS, SAS, etc.)"
257,25-29,Woman,Pakistan,Master’s degree,< 1 years, SQL,Python,Jupyter Notebook,,,,,,,,,,,Google Cloud Datalab,,,,,,, None,Computers/Technology,"1000-9,999 employees",3-4,Analyze and understand data to influence product or business decisions, Microsoft Power BI,,,,,,,,,,I do not share my work publicly,,
263,25-29,Woman,India,Bachelor’s degree,< 1 years,"Python, R, SQL",R,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ,RStudio , Spyder",,,,,,,,,,,Google Cloud Datalab,,,,,,," Matplotlib ,Ggplot / ggplot2 ",Energy/Mining,"10,000 or more employees",20+,"Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"," Microsoft Power BI, Tableau, Alteryx ",Microsoft Power BI,,,,,,,,,I do not share my work publicly,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)"
265,35-39,Woman,Other,Master’s degree,10-20 years,"Python, R, SQL",R,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Jupyter Notebook", Kaggle Notebooks,,,,,,,,,,,,,,,,, Matplotlib ,Computers/Technology,0-49 employees,1-2,,,,,,,,,,,,,,
269,25-29,Woman,Pakistan,Doctoral degree,3-5 years,Python,R, Spyder,,Colab Notebooks,,,,,,,,,,,,,,,,"Seaborn ,Ggplot / ggplot2 ",Academics/Education,50-249 employees,1-2,"Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas, Build and/or run a machine learning service that operationally improves my product or workflows, Experimentation and iteration to improve existing ML models, Do research that advances the state of the art of machine learning", Microsoft Power BI,,,,, GitHub ,,, Colab ,,,,
270,25-29,Woman,India,Master’s degree,1-3 years,"Python, SQL",R,Jupyter Notebook,,Colab Notebooks,,,,,,,,,,,,,,,," Matplotlib ,Seaborn ,Plotly / Plotly Express ,Ggplot / ggplot2 ,Geoplotlib ",Online Business/Internet-based Sales,250-999 employees,20+,"Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Do research that advances the state of the art of machine learning"," Microsoft Power BI, Tableau",Tableau,,,, GitHub ,, Kaggle , Colab ,,,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)"
282,40-44,Man,Canada,Master’s degree,< 1 years,"Python, SQL",Python,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Visual Studio Code (VSCode) ,PyCharm ,Jupyter Notebook",,Colab Notebooks,,,,,,,,,,,,,,,," Matplotlib ,Seaborn ",Academics/Education,0-49 employees,5-9,Analyze and understand data to influence product or business decisions, None,,,,, GitHub ,, Kaggle , Colab ,,,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)"
284,30-34,Man,Nigeria,Master’s degree,1-3 years,"Python, R, SQL",SQL,"RStudio ,Jupyter Notebook",,,Azure Notebooks,,,,,,,,,,,,,,," Matplotlib ,Seaborn ,Ggplot / ggplot2 ",Manufacturing/Fabrication,"1000-9,999 employees",1-2,"Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data"," Microsoft Power BI, Tableau",Microsoft Power BI,,,,,,,,,I do not share my work publicly,,
309,35-39,Woman,Tunisia,Doctoral degree,3-5 years, C++,Java,Visual Studio ,,,,,,, IBM Watson Studio ,,,,,,,,,,, None,Academics/Education,0-49 employees,3-4, None of these activities are an important part of my role at work,,,,,,,,,,,,,"Local development environments (RStudio, JupyterLab, etc.)"
311,22-24,Man,China,Bachelor’s degree,1-3 years,Python,Python,"PyCharm ,Jupyter Notebook", Kaggle Notebooks,,,,,,,,,,,,,,,,," Matplotlib ,Seaborn ",Computers/Technology,50-249 employees,3-4," Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas", Domo,,,,, GitHub ,, Kaggle , Colab ,,,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)"
340,25-29,Woman,Italy,Master’s degree,1-3 years,"Python, R, Other",Python,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ,RStudio ,PyCharm , Spyder, Sublime Text,Jupyter Notebook",,,,, Binder / JupyterHub ,,,,,,,,,,,,,"Ggplot / ggplot2 ,Shiny ",Academics/Education,250-999 employees,1-2, Build prototypes to explore applying machine learning to new areas,,,,,,,,,,,,,"Advanced statistical software (SPSS, SAS, etc.)"
375,25-29,Woman,India,Bachelor’s degree,3-5 years,"Python, SQL, Other",Python,Jupyter Notebook,,,,,,,,,,,,,,,,None,," Matplotlib ,Plotly / Plotly Express ",Medical/Pharmaceutical,"10,000 or more employees",1-2,"Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas, Build and/or run a machine learning service that operationally improves my product or workflows, Experimentation and iteration to improve existing ML models, Do research that advances the state of the art of machine learning",,,,,,,,,,,,,"Advanced statistical software (SPSS, SAS, etc.)"
396,50-54,Man,Spain,Bachelor’s degree,1-3 years, R,R,RStudio ,,,,,,,,,,,,,,,,None,,Ggplot / ggplot2 ,Online Service/Internet-based Services,50-249 employees,3-4,"Analyze and understand data to influence product or business decisions, Do research that advances the state of the art of machine learning", Google Data Studio,,,,, GitHub ,,,,,,,"Local development environments (RStudio, JupyterLab, etc.)"
405,25-29,Man,Colombia,Bachelor’s degree,1-3 years,"Python, SQL, Java, Javascript",Python,Visual Studio Code (VSCode) ,,Colab Notebooks,Azure Notebooks,,,,,, Amazon EMR Notebooks ,,Google Cloud Datalab, Databricks Collaborative Notebooks ,,,,,," Matplotlib ,Seaborn ,Plotly / Plotly Express ",Broadcasting/Communications,"10,000 or more employees",20+,"Analyze and understand data to influence product or business decisions, Experimentation and iteration to improve existing ML models"," Microsoft Power BI, Google Data Studio, Tableau",Tableau,,,, GitHub ,, Kaggle , Colab ,,,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)"
430,30-34,Woman,United States of America,Bachelor’s degree,< 1 years," R, SQL",SQL,RStudio , Kaggle Notebooks,,,,,,,, Amazon EMR Notebooks ,Google Cloud Notebooks (AI Platform / Vertex AI) ,Google Cloud Datalab, Databricks Collaborative Notebooks ,,,,,, None,Manufacturing/Fabrication,0-49 employees,1-2,"Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data", Tableau CRM,,,,,,,,,,I do not share my work publicly,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)"
436,30-34,Man,Indonesia,Master’s degree,5-10 years,"Python, SQL, C++",Python,"Visual Studio Code (VSCode) , Notepad++,Jupyter Notebook", Kaggle Notebooks,Colab Notebooks,,,,,,,,,,,,,,,," Matplotlib ,Seaborn ",Academics/Education,50-249 employees,3-4,"Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas, Build and/or run a machine learning service that operationally improves my product or workflows, Experimentation and iteration to improve existing ML models, Do research that advances the state of the art of machine learning", Google Data Studio,,,,, GitHub ,,, Colab ,,,,"Local development environments (RStudio, JupyterLab, etc.)"
440,22-24,Man,Sri Lanka,Bachelor’s degree,1-3 years,"Python, SQL, Javascript, Other",Python,"Visual Studio Code (VSCode) ,Jupyter Notebook", Kaggle Notebooks,,,,,,,,,,,,,,,,," Matplotlib ,Seaborn ",Hospitality/Entertainment/Sports,0-49 employees,3-4," Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas, Experimentation and iteration to improve existing ML models", Tableau,,,,, GitHub ,, Kaggle ,,,,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)"
454,25-29,Man,United States of America,Master’s degree,< 1 years,"Python, SQL",Python,"RStudio ,Jupyter Notebook",,,,,,,,,,,,,,,,None,," Matplotlib ,Seaborn ,Plotly / Plotly Express ,Ggplot / ggplot2 ",Computers/Technology,"1000-9,999 employees",20+,"Analyze and understand data to influence product or business decisions, Build prototypes to explore applying machine learning to new areas, Do research that advances the state of the art of machine learning"," Microsoft Power BI, Tableau, TIBCO Spotfire, Alteryx ",Tableau,,,, GitHub ,,,,,,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)"
457,35-39,Man,United States of America,Master’s degree,10-20 years,"Python, R, SQL, MATLAB",Python,"RStudio ,PyCharm ,MATLAB ", Kaggle Notebooks,Colab Notebooks,,,,,,,,,,,,,,,,"Plotly / Plotly Express ,Ggplot / ggplot2 ",Computers/Technology,50-249 employees,3-4,"Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas, Experimentation and iteration to improve existing ML models", None,,,,, GitHub ,, Kaggle ,,,,,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)"
461,30-34,Woman,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,< 1 years,"Python, SQL",Python,"RStudio ,Visual Studio ,Visual Studio Code (VSCode) ,PyCharm ,Jupyter Notebook",,,,,,,,,,,,,,,,None,," Matplotlib ,Seaborn ,Plotly / Plotly Express ,Ggplot / ggplot2 ,Geoplotlib ",Online Business/Internet-based Sales,50-249 employees,3-4,"Analyze and understand data to influence product or business decisions, Build prototypes to explore applying machine learning to new areas, Build and/or run a machine learning service that operationally improves my product or workflows"," Microsoft Power BI, Google Data Studio",Microsoft Power BI,,,, GitHub ,, Kaggle ,,,,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)"
467,25-29,Woman,India,Master’s degree,< 1 years,"Python, R, SQL",SQL,Jupyter Notebook,,,,,,,,,,,,,,,,,Other," Matplotlib ,Seaborn ",Retail/Sales,50-249 employees,5-9,"Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build and/or run a machine learning service that operationally improves my product or workflows"," Microsoft Power BI, Tableau",Tableau,,,, GitHub ,, Kaggle ,,,,,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)"
477,22-24,Woman,India,Bachelor’s degree,I have never written code,,,,,,,,,,,,,,,,,,,,,,Other,"10,000 or more employees",5-9,"Analyze and understand data to influence product or business decisions, Experimentation and iteration to improve existing ML models",,,,,,,,,,,,,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)"
509,18-21,Woman,Turkey,Master’s degree,1-3 years,"Python, SQL, MATLAB",Python," Spyder, Other", Kaggle Notebooks,Colab Notebooks,,,,,,,,,,,,,,,," Matplotlib ,Seaborn ",Government/Public Service,0-49 employees,5-9," Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data", Tableau CRM,,,,, GitHub ,,,,,,Other,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)"
521,35-39,Man,China,Bachelor’s degree,< 1 years,Python,Python,"PyCharm ,Jupyter Notebook",,,,,,,, Amazon Sagemaker Studio Notebooks ,,,,,,,,,," Matplotlib ,Seaborn ",Manufacturing/Fabrication,"10,000 or more employees",5-9,"Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas, Build and/or run a machine learning service that operationally improves my product or workflows, Experimentation and iteration to improve existing ML models"," Microsoft Power BI, SAP Analytics Cloud ",SAP Analytics Cloud ,,,,, Personal blog ,,,,,,"Advanced statistical software (SPSS, SAS, etc.)"
533,22-24,Man,India,Master’s degree,< 1 years,"Python, SQL",Python,"PyCharm ,Jupyter Notebook", Kaggle Notebooks,Colab Notebooks,,,,,,,,,Google Cloud Datalab,,,,,,," Matplotlib ,Seaborn ",Computers/Technology,"10,000 or more employees",1-2, Build prototypes to explore applying machine learning to new areas," Microsoft Power BI, Tableau",Tableau, Plotly Dash ,,, GitHub , Personal blog , Kaggle , Colab ,,,,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)"
541,22-24,Man,United States of America,Some college/university study without earning a bachelor’s degree,< 1 years,"Python, R, SQL",SQL, Notepad++,,,,,,,,,,,Google Cloud Datalab,,,,,,, None,Shipping/Transportation,250-999 employees,0, None of these activities are an important part of my role at work,,,,,,,,,,,,,
564,22-24,Man,Pakistan,Bachelor’s degree,1-3 years,"Python, Javascript",Python,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Visual Studio Code (VSCode) ,Jupyter Notebook", Kaggle Notebooks,,,,,,,,,Google Cloud Notebooks (AI Platform / Vertex AI) ,Google Cloud Datalab,,,,,,," Matplotlib ,Seaborn ",Academics/Education,0-49 employees,3-4," Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",,,,,,,,,,,,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)"
574,35-39,Man,Other,Bachelor’s degree,< 1 years,"Python, R",Python,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ,RStudio ,PyCharm , Spyder, Notepad++,Jupyter Notebook",,Colab Notebooks,,,,,,,,Google Cloud Notebooks (AI Platform / Vertex AI) ,Google Cloud Datalab,,,,,,," Matplotlib ,Seaborn ,Plotly / Plotly Express ",Academics/Education,0-49 employees,0," Experimentation and iteration to improve existing ML models, Do research that advances the state of the art of machine learning",,,,,,,,,,,,,"Local development environments (RStudio, JupyterLab, etc.)"
578,22-24,Man,Ukraine,Bachelor’s degree,< 1 years,Python,SQL,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ,PyCharm ,MATLAB ",,,,,,,,,,,,,,,,None,, None,,,,,,,,,,,,,,,,,
587,35-39,Man,Kenya,Bachelor’s degree,1-3 years,"Python, R, SQL",Python,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ", Kaggle Notebooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606,30-34,Man,"Iran, Islamic Republic of...",Doctoral degree,3-5 years,"Python, SQL, Java, Javascript",Python,"Visual Studio Code (VSCode) , Spyder,Jupyter Notebook",,Colab Notebooks,,,,,,,,,,,,,,,," Matplotlib ,Seaborn ",Medical/Pharmaceutical,"1000-9,999 employees",20+,"Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",,,,,,,,,,,,,"Advanced statistical software (SPSS, SAS, etc.)"
612,45-49,Man,United States of America,Some college/university study without earning a bachelor’s degree,10-20 years,"Python, SQL, Javascript, Bash",Python," Notepad++, Vim / Emacs",,,,,,,,,,Google Cloud Notebooks (AI Platform / Vertex AI) ,,,,,,,, None,Academics/Education,50-249 employees,3-4," Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",,,,,,,,,,,,,
619,35-39,Woman,Other,Bachelor’s degree,1-3 years," C, C++, MATLAB",SQL, None,,,,,,,,,,,,,,,,None,, None,Broadcasting/Communications,"1000-9,999 employees",5-9,Analyze and understand data to influence product or business decisions,,,,,,,,,,,,,
624,18-21,Woman,China,I prefer not to answer,1-3 years,"Python, Java",Python,PyCharm ,,,,,,,,, Amazon EMR Notebooks ,,Google Cloud Datalab,,,,,,, Matplotlib ,Academics/Education,0-49 employees,3-4,Analyze and understand data to influence product or business decisions,,,,,,,,,,,,,
629,25-29,Man,South Korea,Bachelor’s degree,1-3 years,"Python, R",R,"RStudio ,Visual Studio ,PyCharm ,Jupyter Notebook",,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,
632,30-34,Man,Other,Doctoral degree,< 1 years,Python,Python,"PyCharm , Spyder,Jupyter Notebook",,,,,,,,,,,,,,,,None,,"Seaborn ,Plotly / Plotly Express ,Geoplotlib ",,,,,,,,,,,,,,,,,
638,30-34,Man,Russia,Master’s degree,3-5 years,Python,Python,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Visual Studio Code (VSCode) ,PyCharm ", Kaggle Notebooks,Colab Notebooks,,,,,,,,,,,,,,,," Matplotlib ,Ggplot / ggplot2 ",Academics/Education,250-999 employees,10-14, None of these activities are an important part of my role at work,,,,,,,,,,,,,
652,22-24,Man,Peru,Bachelor’s degree,1-3 years,"Python, R, SQL",Python,"RStudio ,Visual Studio Code (VSCode) ,Jupyter Notebook", Kaggle Notebooks,Colab Notebooks,,,,,,,,,,,, Deepnote Notebooks ,,,," Matplotlib ,Seaborn ,Ggplot / ggplot2 ,Geoplotlib ",Manufacturing/Fabrication,50-249 employees,1-2,"Analyze and understand data to influence product or business decisions, Experimentation and iteration to improve existing ML models"," Google Data Studio, Tableau",Google Data Studio,,,, GitHub ,,, Colab ,,,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)"
665,22-24,Man,United States of America,Bachelor’s degree,3-5 years,"Python, SQL",Python,"Jupyter (JupyterLab, Jupyter Notebooks, etc) , Notepad++, Vim / Emacs,Jupyter Notebook", Kaggle Notebooks,,,,,,,,,,,,,,,,," Matplotlib ,Seaborn ",Accounting/Finance,"10,000 or more employees",20+,Analyze and understand data to influence product or business decisions, Alteryx ,,,,,,, Kaggle ,,,,,"Local development environments (RStudio, JupyterLab, etc.)"
675,50-54,Man,Egypt,Bachelor’s degree,3-5 years,"Python, R, SQL, Other",R,"RStudio ,Jupyter Notebook",,,,,,,,,,,,,,,,None,,"Seaborn ,Ggplot / ggplot2 ",Energy/Mining,"1000-9,999 employees",20+,Analyze and understand data to influence product or business decisions, None,,,,, GitHub ,,,,,,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)"
709,22-24,Woman,Other,Master’s degree,3-5 years,"Python, C++, Java, MATLAB",Python,"Visual Studio ,PyCharm ,MATLAB ",,Colab Notebooks,,,,,,,,Google Cloud Notebooks (AI Platform / Vertex AI) ,,,,,,,," Matplotlib ,Seaborn ,Plotly / Plotly Express ,D3 js ",Academics/Education,0-49 employees,5-9, Experimentation and iteration to improve existing ML models,,,,,,,,,,,,,"Local development environments (RStudio, JupyterLab, etc.)"
710,40-44,Man,Belgium,Bachelor’s degree,20+ years,"Python, R, SQL, Other",R,"RStudio ,Visual Studio , Notepad++", Kaggle Notebooks,,,,,,,,,,,,,,,,,Ggplot / ggplot2 ,Academics/Education,"1000-9,999 employees",3-4,Analyze and understand data to influence product or business decisions, Microsoft Power BI,,,,,,,,,,I do not share my work publicly,,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)"
723,25-29,Woman,India,Master’s degree,< 1 years,"Python, SQL",Python,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Jupyter Notebook", Kaggle Notebooks,,,,,,,,,Google Cloud Notebooks (AI Platform / Vertex AI) ,,,,,,,," Matplotlib ,Seaborn ,Plotly / Plotly Express ",Computers/Technology,50-249 employees,0,Analyze and understand data to influence product or business decisions,,,,,,,,,,,,,
727,18-21,Woman,Indonesia,Some college/university study without earning a bachelor’s degree,20+ years, R,R,Visual Studio , Kaggle Notebooks,,,,,,,,,,,,,,,,, Other,,,,,,,,,,,,,,,,,
730,30-34,Man,Germany,Master’s degree,1-3 years," R, SQL",Python,"RStudio ,Visual Studio ",,,,,,,,,,,,,,,,None,,"Plotly / Plotly Express ,Ggplot / ggplot2 ,Shiny ",Broadcasting/Communications,50-249 employees,5-9,Analyze and understand data to influence product or business decisions, Microsoft Power BI,,,,,,,,,,I do not share my work publicly,,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)"
754,30-34,Man,France,Master’s degree,1-3 years,"Python, R, SQL, Javascript",Python,"Jupyter (JupyterLab, Jupyter Notebooks, etc) ,RStudio ,Visual Studio ,Visual Studio Code (VSCode) , Sublime Text,Jupyter Notebook", Kaggle Notebooks,Colab Notebooks,Azure Notebooks,,,,, Amazon Sagemaker Studio Notebooks ,,,Google Cloud Datalab, Databricks Collaborative Notebooks ,,,,,," Matplotlib ,Seaborn ,Plotly / Plotly Express ,Ggplot / ggplot2 ,Shiny ,Altair ,Bokeh ,Geoplotlib ,Leaflet / Folium ",Marketing/CRM,0-49 employees,1-2,"Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas, Build and/or run a machine learning service that operationally improves my product or workflows, Experimentation and iteration to improve existing ML models","Amazon QuickSight, Microsoft Power BI, Google Data Studio, Looker, Tableau, Tableau CRM, Qlik, Thoughtspot ",Tableau,, Streamlit ,, GitHub , Personal blog , Kaggle , Colab , Shiny ,,,"Local development environments (RStudio, JupyterLab, etc.)"
